gameweek,club,opponent,is_home,difficulty
4,Northport,Southbank,true,2
4,Southbank,Northport,false,4
4,Eastford,Westhaven,true,2
4,Westhaven,Eastford,false,4
4,Lakeside,Hilltown,false,3
4,Hilltown,Lakeside,true,2
4,Riverside,Meadow,true,2
4,Meadow,Riverside,false,4
5,Northport,Eastford,false,3
5,Southbank,Lakeside,true,2
5,Eastford,Northport,true,3
5,Westhaven,Riverside,false,4
5,Lakeside,Southbank,false,4
5,Hilltown,Meadow,true,2
5,Riverside,Westhaven,true,2
5,Meadow,Hilltown,false,4
6,Northport,Westhaven,true,2
6,Southbank,Hilltown,false,4
6,Eastford,Meadow,true,2
6,Westhaven,Northport,false,4
6,Lakeside,Riverside,true,3
6,Hilltown,Southbank,true,2
6,Riverside,Lakeside,false,3
6,Meadow,Eastford,false,4
7,Northport,Lakeside,true,2
7,Southbank,Riverside,true,3
7,Eastford,Hilltown,false,4
7,Westhaven,Meadow,true,2
7,Lakeside,Northport,false,4
7,Hilltown,Eastford,true,2
7,Riverside,Southbank,false,3
7,Meadow,Westhaven,false,4
8,Northport,Hilltown,false,4
8,Southbank,Meadow,true,2
8,Eastford,Riverside,true,3
8,Westhaven,Lakeside,false,3
8,Lakeside,Westhaven,true,3
8,Hilltown,Northport,true,2
8,Riverside,Eastford,false,3
8,Meadow,Southbank,false,4
