id,name,club,position,price,points_per_game,form,chance_of_playing,expected_minutes,status,news,source_url,source_published_at
1,Alder,Northport,GK,5.0,4.5,4.8,100,90,available,,,
2,Birch,Southbank,GK,4.0,3.0,2.8,100,90,available,,,
3,Cedar,Northport,DEF,6.0,5.2,5.5,100,86,available,,,
4,Dune,Southbank,DEF,5.5,4.8,4.4,100,88,available,,,
5,Elm,Eastford,DEF,5.0,4.3,4.6,100,90,available,,,
6,Flint,Westhaven,DEF,4.5,4.1,3.8,20,25,injured,Expected to miss several matches,https://example.invalid/synthetic-injury,2026-09-10T12:00:00Z
7,Grove,Lakeside,DEF,4.0,3.4,3.2,100,82,available,,,
8,Harbor,Northport,MID,10.0,7.2,7.8,100,88,available,,,
9,Indigo,Southbank,MID,9.5,6.8,6.4,100,90,available,,,
10,Juniper,Eastford,MID,8.0,5.9,6.2,100,84,available,,,
11,Kite,Westhaven,MID,6.5,4.7,5.0,100,80,available,,,
12,Linden,Lakeside,MID,5.0,3.8,4.0,100,76,available,,,
13,Maple,Eastford,FWD,8.5,6.4,6.9,100,87,available,,,
14,Nova,Westhaven,FWD,7.5,5.5,5.1,100,85,available,,,
15,Oak,Lakeside,FWD,6.5,4.6,4.9,100,78,available,,,
16,Pine,Eastford,GK,4.6,4.1,4.4,100,90,available,,,
17,Ridge,Hilltown,DEF,4.6,5.0,5.8,100,90,available,,,
18,Stone,Hilltown,DEF,5.2,4.9,5.2,100,87,available,,,
19,Thorne,Hilltown,MID,7.0,5.8,6.3,100,86,available,,,
20,Umber,Riverside,MID,6.0,5.1,5.7,100,90,available,,,
21,Vale,Hilltown,FWD,7.0,5.9,6.1,100,88,available,,,
22,Willow,Riverside,FWD,6.7,5.4,5.8,100,84,available,,,
23,Xenon,Riverside,DEF,4.4,4.4,4.9,100,90,available,,,
24,Yarrow,Meadow,MID,5.5,4.6,5.0,100,82,available,,,
25,Zephyr,Meadow,FWD,7.8,6.0,6.5,75,70,doubtful,Late fitness test,https://example.invalid/synthetic-fitness,2026-09-10T15:00:00Z
